,Open,High,Low,Close,Volume
2023-05-03,23.7600,23.7600,23.0700,23.1200,1789
2023-05-04,22.5000,22.9300,22.3800,22.6900,12488
2023-05-05,23.9300,24.6400,23.9300,24.5400,9787
2023-05-08,24.4100,24.5400,24.4000,24.4500,3273
2023-05-09,24.0978,24.1000,24.0400,24.1000,1349
2023-05-10,24.3600,24.5000,24.1700,24.4400,4000
2023-05-11,24.4110,24.5600,24.4110,24.5600,4061
2023-05-12,24.2467,24.2700,23.9215,24.2550,6011
2023-05-15,24.4200,24.4200,24.0137,24.1700,7163
2023-05-16,24.3100,24.3100,24.0900,24.1700,8743
2023-05-17,23.8699,24.2681,23.8200,24.2681,10423
2023-05-18,24.5200,24.8390,24.4800,24.8200,24453
2023-05-19,24.9302,25.0000,24.8500,24.8800,8899
2023-05-22,24.6400,24.6600,24.5300,24.5966,10053
2023-05-23,24.2303,24.3400,23.9300,23.9900,12625
2023-05-24,24.0210,24.0500,23.8100,24.0500,6304
2023-05-25,24.0750,24.4000,24.0750,24.2734,7925
2023-05-26,24.5300,24.8500,24.5300,24.8500,6236
2023-05-30,25.2500,25.5400,25.2500,25.2678,14945
2023-05-31,25.3500,25.7600,25.2800,25.3450,12086
2023-06-01,25.4000,25.9600,25.2300,25.9400,10547
2023-06-02,26.3100,26.4500,26.0200,26.2400,13736
2023-06-05,26.6300,27.2400,25.7100,25.8300,74010
2023-06-06,25.5428,25.8200,25.3800,25.7800,20736
2023-06-07,25.6200,26.0500,25.2915,25.3700,8560
2023-06-08,25.5450,26.1200,25.4990,26.1000,14732
2023-06-09,26.2900,26.4400,26.1500,26.1500,6431
2023-06-12,26.2099,26.8800,26.2099,26.8472,8812
2023-06-13,26.8890,26.8890,26.5600,26.7600,10083
2023-06-14,26.8000,26.9890,26.4600,26.8700,5095
2023-06-15,26.9150,27.4600,26.9150,27.4100,15771
2023-06-16,27.1610,27.3300,27.0300,27.1500,17304
2023-06-20,27.0700,27.3700,26.9700,27.1500,16091
2023-06-21,27.1300,27.1300,26.5400,26.8600,5892
2023-06-22,27.1100,27.6300,27.1100,27.6300,12260
2023-06-23,27.1600,27.6799,27.1100,27.4838,13897
2023-06-26,27.6300,27.7700,27.1315,27.1315,10931
2023-06-27,27.2700,27.9200,27.2695,27.8320,8571
2023-06-28,27.8600,28.2000,27.8600,28.1200,10587
2023-06-29,28.1500,28.3290,28.1400,28.2200,18060
2023-06-30,28.8000,29.4300,28.7000,29.2700,31364
2023-07-03,29.2700,29.3500,28.8200,28.9700,22062
2023-07-05,28.7600,28.9910,28.5000,28.6800,13826
2023-07-06,28.2700,28.7900,28.1990,28.7900,14951
2023-07-07,28.5400,28.9400,28.3600,28.4600,8619
2023-07-10,28.0500,28.1200,27.5000,27.9000,88876
2023-07-11,27.7200,27.7200,27.3600,27.7000,18331
2023-07-12,28.3250,28.3990,27.8100,28.1900,4883
2023-07-13,28.3354,28.4900,28.1985,28.3100,15925
2023-07-14,28.2600,28.3700,28.1500,28.3600,8298
2023-07-17,28.6800,29.2655,28.6800,29.2200,13467
2023-07-18,28.9390,29.1690,28.8000,29.1600,4972
2023-07-19,28.8610,30.1600,28.8600,29.4300,23300
2023-07-20,29.2600,29.7999,28.9117,28.9700,25408
2023-07-21,29.2344,29.2344,28.4510,28.5700,10009
2023-07-24,29.2000,29.2290,28.7700,28.7700,5472
2023-07-25,29.0000,29.1700,29.0000,29.0200,3878
2023-07-26,29.0500,29.3100,28.9600,29.2600,6852
2023-07-27,29.7500,29.9099,28.8000,28.9300,6099
2023-07-28,29.2900,29.7200,29.1650,29.5300,8320
2023-07-31,29.5701,29.7000,29.5000,29.7000,10052
2023-08-01,29.6800,29.7200,29.4393,29.5300,15069
2023-08-02,29.0000,29.1000,28.6000,28.7400,11989
2023-08-03,28.5300,28.5800,28.2800,28.3200,25311
2023-08-04,26.9100,27.1590,25.9100,25.9500,60100
2023-08-07,25.6000,25.6000,24.8000,25.1500,50812
2023-08-08,25.3500,25.4510,24.9006,25.3800,16647
2023-08-09,25.6800,25.6800,24.7224,24.9900,23165
2023-08-10,25.3000,25.5700,24.8250,24.9200,40475
2023-08-11,24.6600,25.0400,24.5918,24.9200,10123
2023-08-14,24.8900,25.3498,24.7600,25.3100,17896
2023-08-15,25.1990,25.1990,24.7400,24.8200,12984
2023-08-16,24.9000,25.0000,24.5410,24.5900,6223
2023-08-17,24.4700,24.4700,23.8300,23.9700,30149
2023-08-18,23.4000,24.1300,23.4000,24.0400,17516
2023-08-21,24.2200,24.3700,23.9100,24.3200,14042
2023-08-22,24.5400,24.7700,24.4604,24.6900,29858
2023-08-23,25.1301,25.7000,25.1301,25.6600,25075
2023-08-24,25.5600,25.5700,24.3500,24.4400,35659
2023-08-25,24.5700,25.0800,24.3008,24.9300,19066
2023-08-28,25.1409,25.3500,24.9950,25.3500,10803
2023-08-29,25.2100,26.4000,25.2100,26.2600,21940
2023-08-30,26.5700,27.2000,26.4700,27.2000,28130
2023-08-31,27.2000,27.4899,27.1300,27.2300,36385
2023-09-01,27.5700,27.5801,27.3000,27.5400,23384
2023-09-05,27.2000,27.6700,27.2000,27.6500,11664
2023-09-06,27.2500,27.2500,25.5500,25.8800,29243
2023-09-07,24.0000,24.6900,23.6505,24.5600,61780
2023-09-08,24.6700,25.1700,24.6399,24.6900,28475
2023-09-11,25.2100,25.2100,24.5400,25.0000,21279
2023-09-12,24.9900,25.1500,23.8600,24.2500,38576
2023-09-13,24.3900,24.4200,23.7000,23.7100,39433
2023-09-14,23.7600,24.1400,23.5859,24.0800,28150
2023-09-15,24.1000,24.1000,23.6100,23.8800,14346
2023-09-18,24.3000,24.8590,24.2799,24.6200,36262
2023-09-19,24.5300,24.9504,24.4100,24.8600,16244
2023-09-20,24.7529,24.7600,23.9400,23.9400,18959
2023-09-21,23.6600,24.0700,23.5900,23.5900,9008
2023-09-22,23.7200,24.3000,23.6500,23.8000,21554
2023-09-25,23.8000,24.2500,23.8000,24.0900,8219
2023-09-26,23.6790,23.6790,23.0400,23.0900,14161
2023-09-27,23.1100,23.1100,22.4500,22.7300,13343
2023-09-28,22.2500,23.0020,22.2090,22.8000,8597
2023-09-29,23.0800,23.2600,22.7700,22.8400,8388
2023-10-02,23.2950,23.4950,23.1972,23.4600,8336
2023-10-03,23.2050,23.3708,22.7700,23.1200,5583
2023-10-04,23.0919,23.5100,23.0866,23.3800,8414
2023-10-05,23.5000,23.8100,23.3200,23.7300,15371
2023-10-06,23.5300,24.3800,23.3301,24.3200,11933
2023-10-09,23.9632,24.6500,23.9600,24.6500,8079
2023-10-10,24.5084,24.7971,24.4400,24.5100,8957
2023-10-11,24.4900,24.7798,24.3549,24.7600,7634
2023-10-12,24.9800,25.4057,24.7700,25.0800,13392
2023-10-13,25.1110,25.1110,24.5100,24.6000,5727
2023-10-16,24.0500,24.5488,24.0200,24.4800,11683
2023-10-17,23.9800,24.3610,23.7100,24.1400,6436
2023-10-18,23.6900,24.1110,23.6900,23.7900,5624
2023-10-19,24.0290,24.2500,23.6400,23.7400,5159
2023-10-20,23.6000,23.6000,23.1000,23.1000,15462
2023-10-23,22.5600,23.2200,22.4000,23.1100,13304
2023-10-24,22.9510,23.2100,22.8700,23.2100,9650
2023-10-25,22.9200,23.0400,22.5700,22.6800,8148
2023-10-26,22.5637,22.5637,21.3900,21.6800,15382
2023-10-27,21.7600,22.0950,21.6715,21.9800,13706
2023-10-30,22.5390,22.5500,22.1900,22.4300,3139
2023-10-31,22.0800,22.5500,21.8510,22.5500,3586
2023-11-01,22.7410,23.2950,22.6348,23.2000,5923
2023-11-02,23.6200,24.1000,23.6200,24.1000,39474
2023-11-03,23.2800,23.8600,23.1500,23.8600,35930
2023-11-06,23.8800,24.4500,23.8710,24.4300,21098
